Date,actual_return,pred_return,residual
2021-01-08,0.0019393698,0.0058847046,-0.003945335
2021-01-11,0.04569773,0.0044315355,0.041266195
2021-01-12,0.030326312,0.004880805,0.025445508
2021-01-13,0.059779234,-0.00139588,0.061175115
2021-01-14,0.07079461,-0.0033372974,0.074131906
2021-01-15,0.057885338,-0.00043847162,0.058323808
2021-01-18,-0.021648709,-0.0090402365,-0.012608472
2021-01-19,-0.060206257,-0.0033143866,-0.05689187
2021-01-20,-0.086703554,-0.0077193,-0.07898425
2021-01-21,-0.122630246,0.0020068388,-0.12463708
2021-01-22,-0.07528295,-0.005370807,-0.06991215
2021-01-25,-0.00783094,0.00019670298,-0.008027643
2021-01-27,0.0188127,0.004588926,0.014223773
2021-01-28,0.025445513,0.006326824,0.019118689
2021-01-29,0.04440941,0.00666393,0.03774548
2021-02-01,0.029625962,0.010532337,0.019093625
2021-02-02,0.015759494,0.0049828137,0.01077668
2021-02-03,0.02260885,-0.0024574427,0.025066294
2021-02-04,0.068284504,-0.0056555266,0.07394003
2021-02-05,0.06126065,0.0079610925,0.05329956
2021-02-08,0.041584335,-0.00042419386,0.04200853
2021-02-09,0.052833445,-0.006074386,0.058907833
2021-02-10,0.05518408,-0.00683952,0.062023602
2021-02-11,0.0058374796,-0.0042352863,0.010072766
2021-02-12,0.018955788,-0.0053833066,0.024339095
2021-02-15,-0.012053466,-0.005232811,-0.0068206554
2021-02-16,-0.017504243,-0.004420476,-0.013083767
2021-02-17,-0.010680386,0.018610401,-0.029290788
2021-02-18,0.037070226,0.0029543696,0.034115855
2021-02-19,0.0026437459,-0.0016349056,0.0042786514
2021-02-22,0.04661122,0.002478003,0.044133216
2021-02-23,0.040796567,0.00059170026,0.040204868
2021-02-24,0.06846188,-0.0023264065,0.07078829
2021-02-25,0.014689699,-0.018823348,0.033513047
2021-02-26,0.044539217,-0.015970455,0.060509674
2021-03-01,0.042537045,-0.014814204,0.057351246
2021-03-02,0.04038462,-0.006536089,0.04692071
2021-03-03,-0.009150435,-0.032333896,0.023183461
2021-03-04,-0.01757928,-0.02249088,0.0049115997
2021-03-05,-0.03203743,-0.023414494,-0.008622935
2021-03-08,-0.041303568,-0.018655106,-0.022648461
2021-03-09,-0.061933678,-0.009896156,-0.052037522
2021-03-10,-0.07921803,-0.017290441,-0.061927587
2021-03-12,-0.026010517,-0.0010596468,-0.02495087
2021-03-15,-0.022049453,0.0071438644,-0.029193318
2021-03-16,-0.006236305,0.010090887,-0.016327191
2021-03-17,-0.0039167,0.011124071,-0.01504077
2021-03-18,-0.008785084,0.012372695,-0.021157779
